project,project_name,project_class,location,latitude,longitude,jitter,icon,image_name,image,image_large
COBRA,Impact of combined iodine and bromine release on the Arctic atmosphere,ground,Hudson Bay Canada,59.63010647,-85.1834103,FALSE,icon_flag,COBRA,Skidoo_resized.png,Skidoo.png
CVAO,Cape Verde Atmospheric Observatory,ground,Sao Vicente Cape Verde,16.86361,-24.86722,FALSE,icon_information_green,CVAO,CVAO_resized.png,CVAO.png
CVAO,Cape Verde Atmospheric Observatory,ground,Sao Vicente Cape Verde,16.86361,-24.96722,FALSE,icon_flag,CVAO,Beach_resized.png,Beach.png
CVAO,Cape Verde Atmospheric Observatory,ground,Sao Vicente Cape Verde,16.86361,-24.76722,FALSE,icon_flag,CVAO,nosite_resized.jpg,nosite.jpg
CVAO,Cape Verde Atmospheric Observatory,ground,Sao Vicente Cape Verde,16.9445117,-24.92599853,FALSE,icon_flag,CVAO,site2_resized.jpg,site2.jpg
CVAO,Cape Verde Atmospheric Observatory,ground,Sao Vicente Cape Verde,16.9445117,-24.80844147,FALSE,icon_flag,CVAO,site3_resized.jpg,site3.jpg
CVAO,Cape Verde Atmospheric Observatory,ground,Sao Vicente Cape Verde,16.7827083,-24.92599853,FALSE,icon_flag,CVAO,site4_resized.jpg,site4.jpg
CVAO,Cape Verde Atmospheric Observatory,ground,Sao Vicente Cape Verde,16.7827083,-24.80844147,FALSE,icon_flag,CVAO,tower_resized.jpg,tower.jpg
DACCIWA,Dynamics-Aerosol-Chemistry-Cloud Interactions In West Africa,aircraft,Lome Togo,6.1725,1.2314,FALSE,icon_information_green,DACCIWA,DACCIWA_resized.png,DACCIWA.png
DACCIWA,Dynamics-Aerosol-Chemistry-Cloud Interactions In West Africa,aircraft,Lome Togo,6.1725,1.1314,FALSE,icon_aircraft,DACCIWA,DACCIWA - Dock Pollution_resized.jpg,DACCIWA - Dock Pollution.jpg
DACCIWA,Dynamics-Aerosol-Chemistry-Cloud Interactions In West Africa,aircraft,Lome Togo,6.1725,1.3314,FALSE,icon_aircraft,DACCIWA,"DACCIWA - Lome, Togo_resized.jpg","DACCIWA - Lome, Togo.jpg"
DACCIWA,Dynamics-Aerosol-Chemistry-Cloud Interactions In West Africa,aircraft,Lome Togo,6.2534017,1.17262147,FALSE,icon_aircraft,DACCIWA,DACCIWA - VOC Lab_resized.jpg,DACCIWA - VOC Lab.jpg
DACCIWA,Dynamics-Aerosol-Chemistry-Cloud Interactions In West Africa,aircraft,Lome Togo,6.2534017,1.29017853,FALSE,icon_aircraft,DACCIWA,DACCIWA - York Instruments_resized.jpg,DACCIWA - York Instruments.jpg
DACCIWA,Dynamics-Aerosol-Chemistry-Cloud Interactions In West Africa,aircraft,Lome Togo,6.0725,1.2314,FALSE,icon_aircraft,DACCIWA,DACCIWA - York Team_resized.jpg,DACCIWA - York Team.jpg
EUPHORE,Outdoor smog chamber experiments at the highly instrumented European photo-reactor ,ground,Valencia Spain,39.551747,-0.462096,FALSE,icon_information_green,EUPHORE,EUPHORE_resized.png,EUPHORE.png
EUPHORE,Outdoor smog chamber experiments at the highly instrumented European photo-reactor ,ground,Valencia Spain,39.551747,-0.562096,FALSE,icon_flag,EUPHORE,EUPHORE_1_resized.jpg,EUPHORE_1.jpg
EUPHORE,Outdoor smog chamber experiments at the highly instrumented European photo-reactor ,ground,Valencia Spain,39.551747,-0.362096,FALSE,icon_flag,EUPHORE,EUPHORE_2_resized.png,EUPHORE_2.png
OP3,Oxidant and particle photochemical processes above a south-east Asian tropical rain forest,ground,Danum Valley Borneo,4.981,117.844,FALSE,icon_information_green,OP3,OP3_resized.png,OP3.png
OP3,Oxidant and particle photochemical processes above a south-east Asian tropical rain forest,ground,Danum Valley Borneo,4.981,117.744,FALSE,icon_flag,OP3,jim_charlotte_resized.jpg,jim_charlotte.jpg
OP3,Oxidant and particle photochemical processes above a south-east Asian tropical rain forest,ground,Danum Valley Borneo,4.981,117.944,FALSE,icon_flag,OP3,Forest_site_resized.png,Forest_site.png
OP3,Oxidant and particle photochemical processes above a south-east Asian tropical rain forest,ground,Danum Valley Borneo,4.881,117.844,FALSE,icon_flag,OP3,Orangutan_resized.png,Orangutan.png
OP3,Oxidant and particle photochemical processes above a south-east Asian tropical rain forest,ground,Danum Valley Borneo,5.0619017,117.78522147,FALSE,icon_flag,OP3,Sunrise_from_tower_resized.png,Sunrise_from_tower.png
OP3,Oxidant and particle photochemical processes above a south-east Asian tropical rain forest,ground,Danum Valley Borneo,5.0619017,117.90277853,FALSE,icon_flag,OP3,Tower_resized.png,Tower.png
OP3,Oxidant and particle photochemical processes above a south-east Asian tropical rain forest,ground,Danum Valley Borneo,5.081,117.844,FALSE,icon_flag,OP3,View_resized.png,View.png
SAMBBA,South American Biomass Burning Analysis,aircraft,Porto Velho Brazil,-8.714234,-63.900283,FALSE,icon_information_green,SAMBBA,SAMBBA_resized.png,SAMBBA.png
SAMBBA,South American Biomass Burning Analysis,aircraft,Porto Velho Brazil,-8.714234,-64.000283,FALSE,icon_aircraft,SAMBBA,SAMBBA river_resized.jpg,SAMBBA river.jpg
SAMBBA,South American Biomass Burning Analysis,aircraft,Porto Velho Brazil,-8.714234,-63.800283,FALSE,icon_aircraft,SAMBBA,SAMBBA storm_resized.jpg,SAMBBA storm.jpg
SWAAMI,South West Asian Aerosol - Monsoon Interactions,aircraft,Lucknow India,26.761786,80.882278,FALSE,icon_information_green,SWAAMI,SWAAMI_resized.png,SWAAMI.png
SWAAMI,South West Asian Aerosol - Monsoon Interactions,aircraft,Lucknow India,26.761786,80.782278,FALSE,icon_aircraft,SWAAMI,SWAAMI colonial_resized.jpg,SWAAMI colonial.jpg
SWAAMI,South West Asian Aerosol - Monsoon Interactions,aircraft,Lucknow India,26.761786,80.982278,FALSE,icon_aircraft,SWAAMI,SWAAMI_elephants_resized.jpg,SWAAMI_elephants.jpg
ARCICE,,,,,,,,,,
BALI,,,,,,,,,,
